sport,date,time,competition,home_team,away_team,venue,referee,scraped_date,age_id
Hurling,Wednesday July 9,19:30,Minor HL Div 3,Kevins,Round Towers (C),Dolphin Park,Donncha Hassey,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 3,Faughs,Lucan Sarsfields,Osprey,Declan Enright,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 4,Cuala,Scoil Ui Chonaill,Shanganagh Park,Adam Kelly,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 4,Na Fianna,Ranelagh Gaels,Collinstown Lane,Eoin Crossen,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 4,Kilmacud Crokes,St Vincents,Silver Park,Karl O Brien,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 4,Ballinteer St Johns,Naomh Olaf,Loreto Park,Tom Curran,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 4,Clontarf,Naomh Fionnbarra,St Annes Park,Ronan Carroll,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,Clontarf,Skerries Harps,St Annes Park,Laurence Kelly,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,Fingallians,St Patricks (D),Balheary,Stephen Dooley,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,Wild Geese,Erin Go Bragh,Oldtown,John O Brien,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,Beann Eadair,Setanta,Pairc Ui Ruairc,TBC,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,Naomh Barrog,St Vincents,Pairc Barrog,TBC,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 North,St Finians (S),St Sylvesters,River Valley,TBC,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 South,Na Gaeil Oga,St Judes,St Catherines Park,TBC,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 South,Ballyboden St Endas,St Patricks (P),Ballycullen,Shay Hurson,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 5 South,St Kevin-Killians,Clanna Gael-Fontenoy,Kingswood,Eugene Murphy,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 6,St Brigids,Castleknock,Russell Park,TBC,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 6,Ballyboden St Endas,Fingallians,Ballycullen,Conor O Halloran,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 6,Kilmacud Crokes,St Oliver Plunkett ER,Silver Park,Stephen Maher,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 6,Lucan Sarsfields,Na Fianna,Arthur Griffith Park,Mick O Flaherty,2025-07-09,3320
Hurling,Wednesday July 9,19:30,Minor HL Div 6,Raheny,St Judes,St Annes Park,Darragh McGhee,2025-07-09,3320
Hurling,Wednesday July 9,19:30,U14 Hurling C Phase Two Gp.A,Ballyboden St Endas,Castleknock,Cherryfield,Michael Gilvarry Lucan Sarsfields,2025-07-09,3327
Hurling,Thursday July 10,19:30,Go Ahead Ireland Intermediate Hurling Championship,St Peregrines,Crumlin,Blakestown,John Doherty,2025-07-10,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 1,St Annes,Cuala,Bohernabreena,Stephen Maher,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 1,Stars of Erin,Round Towers (C),Glencullen,Daniel Hussey,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 1,Whitehall Colmcille,Na Fianna,Cloghran,Ernie Brenner,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 2,Good Counsel / Liffey Gaels,Erins Isle,Liffey Park,Gerry McGeough,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 2,Setanta,Kilmacud Crokes,Club Teach Setanta,Dave Foley,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior E Hurling Championship Group 2,St Vincents,St Peregrines,Pairc Na Uinsionn,Darren Lennon,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 1,Erin Go Bragh,Civil Service Hurling,St Catherines Park,Donal Ryan,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 1,Lucan Sarsfields,Craobh Chiarain,12th Lock,Marc MacLiam,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 1,St Maurs,Raheny,Rush,John O Brien,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 2,St James Gaels An Caislean,St Sylvesters,Drimnagh Castle,Gerard Delaney,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 2,O Dwyers,O Tooles,Balbriggan,Stephen Dooley,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior F Hurling Championship Group 2,Kilmacud Crokes,Thomas Davis,Silver Park,Duncan Higgins,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 1,Bye,St Oliver Plunkett ER,Bye,TBC,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 1,Na Gaeil Aeracha,Ballyboden St Endas,Marino IOE,Marcus Reynolds,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 1,St Josephs OCB,Kevins,Fairview Park,Conor Kavanagh,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 1,St Marks,Geraldine P. Moran,McGee Park,Tom  Eakins,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 2,Castleknock,Beann Eadair,Somerton Park,Gareth McElhone,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 2,Na Fianna,Fingallians,St Mobhi Road,Brian Moore,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior G Hurling Championship Group 2,Scoil Ui Chonaill,Na Gaeil Oga,Clontarf Road,Darragh McGhee,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 1,Trinity Gaels,Lucan Sarsfields,Drumnigh,Aaron  McClean,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 1,Ranelagh Gaels,Clontarf,Bushy Park,Eugene Murphy,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 1,St Patricks (D),Naomh Barrog,Donabate,Ciaran Lyng,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 2,Commercials,Wild Geese,Rathcoole,Eugene Murphy Jnr,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 2,St Finians (S),Faughs,River Valley,TBC,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 2,Wanderers,Bye,Frank Kelly Park,TBC,2025-07-11,3453
Hurling,Friday July 11,19:30,Go Ahead Ireland Junior H Hurling Championship Group 2,Garda Westmanstown Gaels,St Kevin-Killians,Westmanstown,Caoimhín Bermingham,2025-07-11,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Intermediate Hurling Championship,Kilmacud Crokes,Good Counsel / Liffey Gaels,Silver Park,Adam Kelly,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Intermediate Hurling Championship,Lucan Sarsfields,Round Towers (C),12th Lock,Fergus McGreevy,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Intermediate Hurling Championship,Scoil Ui Chonaill,St Maurs,Clontarf Road,Kevin O Donnell,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Premier Intermediate Hurling Championship,Commercials,St Vincents,Rathcoole,David Murphy,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Premier Intermediate Hurling Championship,Cuala,O Tooles,Shanganagh Park,Brian O Connor,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Premier Intermediate Hurling Championship,Setanta,Naomh Olaf,Club Teach Setanta,Donncha Hassey,2025-07-12,3453
Hurling,Saturday July 12,18:30,Go Ahead Ireland Premier Intermediate Hurling Championship,St Sylvesters,Naomh Fionnbarra,Broomfield,Ronan Carroll,2025-07-12,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 1,Skerries Harps,Ballyboden St Endas,Skerries,Eoin Crossen,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 1,St Oliver Plunkett ER,Clanna Gael-Fontenoy,Martin Savage Park,Diarmuid O Loing,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 1,St Judes,Faughs,Tymon Park,Paul Fahey,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 2,Lucan Sarsfields,Thomas Davis,12th Lock,Tom Curran,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 2,Raheny,Kevins,St Annes Park,Simon Redmond,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior A Hurling Championship Group 2,St Marks,St Finians (S),McGee Park,Paul Cullivan,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 1,Castleknock,Ballinteer St Johns,Somerton Park,Laurence Kelly,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 1,Craobh Chiarain,Ballyboden St Endas,Clonshaugh,Eamon Morris,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 1,St Patricks (P),Na Fianna,Glenauline Park,Padraig Furlong,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 2,Civil Service Hurling,Wild Geese,Islandbridge,Richard Lancaster,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 2,Cuala,Kilmacud Crokes,Shanganagh Park,Alan Maxwell,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior B Hurling Championship Group 2,St Brigids,Whitehall Colmcille,Russell Park,Jimmy  Frawley,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 1,St Sylvesters,Na Gaeil Oga,Broomfield,Ronan Smith,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 1,Naomh Olaf,Castleknock,Pairc Ui Bhriain,Kieron Young,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 1,St Judes,Naomh Barrog,Tymon Park,Tom  Eakins,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 2,Commercials,Clontarf,Rathcoole,Pat Murphy,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 2,Naomh Fionnbarra,Fingallians,Pope John Paul ll Park,Shay Hurson,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior C Hurling Championship Group 2,St Brigids,St Brendans,Russell Park,Gerry McGeough,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 1,Crumlin,Ballyboden St Endas,Pearse Park,Conor O Halloran,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 1,Faughs,Ballinteer St Johns,Osprey,Declan Enright,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 1,St Patricks (D),Pobal Parnell,Donabate,John O Brien,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 2,Erins Isle,Trinity Gaels,Finglas,Darren Lennon,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 2,Kevins,Naomh Mearnog,Dolphin Park,Gerard Delaney,2025-07-13,3453
Hurling,Sunday July 13,11:00,Go Ahead ireland Junior D Hurling Championship Group 2,Round Towers Lusk,St Vincents,Thomas Ashe Park,Stephen Shields,2025-07-13,3453
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 1 Spring,Kilmacud Crokes,Ballyboden St Endas,Pairc De Burca,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 1 Spring,Naomh Olaf,Lucan Sarsfields,Pairc Ui Bhrian,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 2 Spring,Templeogue Synge Street,St Judes,Bushy Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 3 Spring,Foxrock Cabinteely,St Patricks Donabate,Kilboggett Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 3 Spring,Raheny,Erins Isle,St Annes No 10,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 3 Spring,Trinity Gaels,St Vincents,Drumnigh,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 3 Spring,Whitehall Colmcille,O Dwyers,Ellenfield,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 4 Spring,St Annes,Thomas Davis,Boharnabrenna,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 4 Spring,St Oliver Plunkett ER,Round Towers Clondalkin,Martin Savage Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 4 Spring,St Kevins/Killians,Shankill,Kilnamanagh,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 4 Spring,Ranelagh Gaels,Clanna Gael/Fontenoy,Cathal Brugha Barracks,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 4 Spring,Ballyboden St Endas,St Finians Newcastle,Cherryfield,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 5 Spring,Castleknock,Naomh Mearnog,Somerton,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 5 Spring,Lucan Sarsfields,Naomh Olaf,12th Lock,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 5 Spring,St Brigids,St Sylvesters,Russell Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 6 Spring,Ballymun Kickhams,Bray Emmets,Pairc Ciceam,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 6 Spring,Fingal Ravens,O Tooles,Rolestown,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 6 Spring,Garda/Westmanstown Gaels,Round Towers Lusk,Jerome Twomey Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 6 Spring,Pobal Parnell,St Marys Saggart,Chanel,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 6 Spring,Stars of Erin,St Patricks Palmerstown,Glencullen,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 7 Spring,St Peregrines,Raheny,Blakestown,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 7 Spring,St Vincents,Whitehall Colmcille,Pairc Naomh Uinsionn,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 7 Spring,Templeogue Synge Street,Naomh Barrog,Bushy Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 7 Spring,St Maurs,St Finians Swords,Rush,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 7 Spring,O Dwyers,Erins Isle,Bremore Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 8 Spring,Garristown,Tyrrelstown,Garristown,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 8 Spring,Na Gaeil Oga,Skerries Harps,Phoenix Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 8 Spring,St Margarets,Geraldine P Morans,St Margarets,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 8 Spring,St Patricks Donabate,Erin Go Bragh,Donabate,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 9 Spring,Ballyboden St Endas,Fingallians,Cherryfield,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 9 Spring,Kilmacud Crokes,Clontarf,Pairc De Burca,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 9 Spring,Lucan Sarsfields,Ballinteer St Johns,12th Lock,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 9 Spring,Na Fianna,St Judes,St Mobhi Road,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 9 Spring,St Sylvesters,St Brigids,Broomfield,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 10 Spring,Thomas Davis,Round Towers Lusk,Kiltipper Road,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 10 Spring,Ranelagh Gaels,Garda/Westmanstown Gaels,Cathal Brugha Barracks,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 10 Spring,Good Counsel/Liffey Gaels,Templeogue Synge Street,Galtymore Road,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 10 Spring,Clanna Gael/Fontenoy,Castleknock,Sean Moore Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 11 Spring,Clontarf,Raheny,St Annes No 34,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 11 Spring,Naomh Olaf,St Brendans,Pairc Ui Bhrian,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 11 Spring,Skerries Harps,St Peregrines,Skerries,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 11 Spring,St Marks,Whitehall Colmcille,McGee Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 12 Spring,Erins Isle,Innisfails,Finglas,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 12 Spring,O Dwyers,St Finians Swords,Bremore Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 12 Spring,St Colmcilles,St Vincents,Balheary,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 12 Spring,St Sylvesters,St Oliver Plunkett ER,Broomfield,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 12 Spring,Tyrrelstown,Fingallians,Tyrellstown,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 13 Spring,Clontarf,Ballinteer St Johns,St Annes No 34,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 13 Spring,Kilmacud Crokes,Na Fianna,Pairc De Burca,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 13 Spring,St Brigids,Lucan Sarsfields,Russell Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U12 Group 13 Spring,Templeogue Synge Street,St Judes,Bushy Park,TBC,2025-07-05,3297
Ladies Football,Saturday July 5,13:00,LGFA U11 4 Team Group X,Kilmacud Crokes,Naomh Olaf,Pairc De Burca,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 4 Team Group X,Cuala,Templeogue Synge Street,Meadowvale,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 4 Team Group Y,St Patricks Donabate,Raheny,Donabate,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 4 Team Group Y,St Brigids,Na Fianna,Russell Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 4 Team Group Y,Fingallians,Castleknock,Balheary,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Y,Naomh Mearnog,Skerries Harps,Portmarnock,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Y,St Oliver Plunkett ER,St Sylvesters,Martin Savage Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Y,Clontarf,St Finians Swords,St Annes No 34,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group V,Man O War/Scoil Ui Chonail/St Monicas,Clontarf,Clontarf Road,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group V,Naomh Barrog,St Sylvesters,Pairc Barrog,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group V,Naomh Mearnog,St Vincents,Portmarnock,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group V,Beann Eadair,Erins Isle,Howth,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Z,Wanderers,Castleknock,Frank Kelly Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Z,Geraldine P Morans,Garda/Westmanstown Gaels,Cornelscourt,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Z,St Kevins/Killians,St Annes,Kilnamanagh,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Z,Stars of Erin,Robert Emmets,Glencullen,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Z,Ballyfermot Gaels,St Patricks Palmerstown,Ballyfermot,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Y,O Dwyers,St Peters,Bremore Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Y,St Maurs,O Tooles,Rush,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Y,Craobh Chiaran,Trinity Gaels,Clonshaugh,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 2 Team Group Y,Na Dubhgall,Ballymun Kickhams,Racecourse Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Z,Shankill,Ballyboden St Endas,Shanganagh Cliffs,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Z,Round Towers Clondalkin,Thomas Davis,Clondalkin,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Z,Foxrock Cabinteely,Bray Emmets,Kilboggett Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Z,Ballyboden St Endas,St Marys Saggart,Cherryfield,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,13:00,LGFA U11 3 Team Group Z,Clanna Gael/Fontenoy,Ranelagh Gaels,Sean Moore Park,TBC,2025-07-05,3296
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group X,St Vincents,Raheny,Pairc Naomh Uinsionn,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group X,Erins Isle,Whitehall Colmcille,Finglas,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group X,Castleknock,Trinity Gaels,Somerton,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group Y,Templeogue Synge Street,Ballyboden St Endas,Bushy Park,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group Y,Kilmacud Crokes,Lucan Sarsfields,Pairc De Burca,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 4 Team Group Y,Ballyboden St Endas,Cuala,Cherryfield,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group W,St Sylvesters,St Peregrines,Broomfield,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group W,Na Fianna,Clontarf,St Mobhi Road,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group W,Naomh Barrog,St Brigids,Pairc Barrog,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group W,St Oliver Plunkett ER,Naomh Fionnbarra,Martin Savage Park,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group X,St Finians Swords,St Patricks Donabate,River Valley,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group X,Na Fianna,St Sylvesters,St Mobhi Road,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group X,Fingallians,Clontarf,Balheary,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group Y,Ballinteer St Johns,Naomh Olaf,Marley Park,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group Y,St Marys Saggart,St Judes,Saggart,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group Z,Geraldine P Morans,Kilmacud Crokes,Cornelscourt,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 3 Team Group Z,Naomh Olaf,Ballinteer St Johns,Pairc Ui Bhrian,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group X,Beann Eadair,St Brigids,Howth,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group X,Ballymun Kickhams,Scoil Ui Chonaill,Pairc Ciceam,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Y,O Tooles,Round Towers Lusk/Man O War,Pairc ui Thuathaill,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Y,Garristown,St Peters,Garristown,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Y,Fingallians,St Maurs,Balheary,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Z,St Judes,Ranelagh Gaels,Tymon North,TBC,2025-07-05,3295
Ladies Football,Saturday July 5,12:00,LGFA U10 2 Team Group Z,St Finians Newcastle,Good Counsel/Liffey Gaels,Newcastle,TBC,2025-07-05,3295
